Province,Month,Year,Events,Fatalities
Ituri,January,2008,1,14
Ituri,February,2008,0,29
Ituri,March,2008,0,40
Ituri,April,2008,0,26
Ituri,May,2008,0,32
Ituri,June,2008,0,5
Ituri,July,2008,0,24
Ituri,August,2008,0,0
Ituri,September,2008,0,14
Ituri,October,2008,0,29
Ituri,November,2008,0,40
Ituri,December,2008,0,26
Ituri,January,2009,0,32
Ituri,February,2009,0,5
Ituri,March,2009,0,24
Ituri,April,2009,0,0
Ituri,May,2009,0,14
Ituri,June,2009,0,29
Ituri,July,2009,0,40
Ituri,August,2009,0,26
Ituri,September,2009,0,32
Ituri,October,2009,0,5
Ituri,November,2009,0,24
Ituri,December,2009,0,0
Ituri,January,2010,0,14
Ituri,March,2010,0,29
Ituri,April,2010,0,40
Ituri,June,2010,0,26
Ituri,July,2010,0,32
Ituri,August,2010,0,5
Ituri,September,2010,0,24
Ituri,October,2010,0,0
Ituri,November,2010,0,14
Ituri,December,2010,0,29
Ituri,January,2011,0,40
Ituri,February,2011,0,26
Ituri,March,2011,0,32
Ituri,April,2011,0,5
Ituri,May,2011,1,24
Ituri,June,2011,0,0
Ituri,July,2011,0,14
Ituri,August,2011,0,29
Ituri,September,2011,0,40
Ituri,October,2011,0,26
Ituri,November,2011,0,32
Ituri,December,2011,0,5
Ituri,January,2012,0,24
Ituri,February,2012,0,29
Ituri,March,2012,0,0
Ituri,April,2012,0,14
Ituri,May,2012,0,29
Ituri,June,2012,0,40
Ituri,July,2012,0,26
Ituri,August,2012,0,32
Ituri,September,2012,0,5
Ituri,October,2012,0,24
Ituri,November,2012,0,0
Ituri,December,2012,0,14
Ituri,January,2013,1,29
Ituri,February,2013,1,40
Ituri,March,2013,0,26
Ituri,May,2013,0,32
Ituri,June,2013,0,5
Ituri,July,2013,0,24
Ituri,August,2013,4,0
Ituri,September,2013,0,14
Ituri,December,2013,0,29
Ituri,January,2014,0,40
Ituri,February,2014,0,26
Ituri,March,2014,0,32
Ituri,April,2014,1,5
Ituri,May,2014,0,24
Ituri,July,2014,0,0
Ituri,August,2014,0,14
Ituri,September,2014,0,29
Ituri,October,2014,0,40
Ituri,December,2014,0,26
Ituri,February,2015,0,32
Ituri,March,2015,1,5
Ituri,April,2015,0,24
Ituri,May,2015,0,8
Ituri,June,2015,0,78
Ituri,July,2015,0,0
Ituri,August,2015,0,14
Ituri,September,2015,0,29
Ituri,October,2015,0,40
Ituri,December,2015,0,26
Ituri,January,2016,0,32
Ituri,February,2016,0,5
Ituri,March,2016,0,24
Ituri,April,2016,0,0
Ituri,May,2016,0,14
Ituri,June,2016,0,29
Ituri,July,2016,0,40
Ituri,August,2016,0,26
Ituri,September,2016,0,32
Tshopo,March,2024,33,5
Kwilu,January,1997,25,24
Kwilu,June,2002,19,0
Kwilu,September,2002,33,14
Kwilu,July,2011,28,29
Kwilu,February,2013,0,40
Kwilu,April,2013,0,26
Kwilu,May,2013,0,32
Kwilu,June,2013,0,5
Kwilu,July,2013,0,24
Kwilu,August,2013,0,0
Kwilu,September,2013,0,14
Kwilu,October,2013,0,0
Kwilu,November,2013,0,14
Kwilu,December,2013,0,29
